TESTACC,TS-CHIEF,ROCKET,BOSS,WEASEL,Catch22
Beef,0.6322222222222222,0.76,0.6122222222222221,0.74,0.4733333333333334
BME,0.9964444444444444,0.9973333333333332,0.8657777777777778,0.9477777777777779,0.9048888888888889
Car,0.8788888888888889,0.9116666666666666,0.8483333333333333,0.8344444444444445,0.746111111111111
CBF,0.9984444444444444,0.9959259259259258,0.9989259259259258,0.9797777777777776,0.9536666666666666
Crop,0.7621011904761905,0.7516845238095239,0.6856884920634921,0.7238253968253967,0.6531408730158729
Fish,0.9815238095238096,0.974095238095238,0.969714285714286,0.9508571428571432,0.7725714285714286
Ham,0.8050793650793654,0.8552380952380955,0.8374603174603178,0.8212698412698417,0.693968253968254
Meat,0.9844444444444445,0.9888888888888892,0.9805555555555552,0.9766666666666663,0.9427777777777776
Rock,0.8320000000000002,0.8046666666666666,0.8026666666666668,0.8546666666666667,0.7053333333333334
UMD,0.9833333333333336,0.9828703703703704,0.9664351851851852,0.9321759259259258,0.8694444444444444
Wine,0.8981481481481484,0.9141975308641976,0.8925925925925925,0.9302469135802468,0.7
Yoga,0.8726333333333334,0.9138444444444443,0.9101555555555554,0.8923777777777778,0.8038222222222223
